PTS,Age,MP,FG,3P,3PA,eFG%,ORB,TOV,PF,TS%,weight
1021.0,27.0,2214.0,330.0,35.0,124.0,0.452,38.0,148.0,90.0,0.539,190.0
100.0,21.0,368.0,44.0,0.0,0.0,0.36700000000000005,26.0,25.0,44.0,0.379,257.0
1209.0,26.0,2556.0,413.0,162.0,404.0,0.5539999999999999,30.0,111.0,119.0,0.601,210.0
245.0,21.0,614.0,113.0,5.0,21.0,0.54,41.0,27.0,51.0,0.551,230.0
1562.0,22.0,3167.0,553.0,185.0,503.0,0.501,42.0,243.0,172.0,0.546,195.0
1457.0,27.0,2531.0,537.0,65.0,197.0,0.483,113.0,224.0,171.0,0.54,230.0
212.0,26.0,505.0,92.0,8.0,34.0,0.45299999999999996,12.0,37.0,66.0,0.474,235.0
2089.0,29.0,2902.0,767.0,116.0,306.0,0.61,81.0,270.0,126.0,0.649,250.0
818.0,26.0,2018.0,285.0,141.0,315.0,0.512,28.0,122.0,145.0,0.544,215.0
412.0,24.0,797.0,137.0,32.0,79.0,0.45799999999999996,16.0,51.0,71.0,0.52,214.0
518.0,29.0,1717.0,198.0,74.0,192.0,0.556,45.0,62.0,113.0,0.5720000000000001,225.0
143.0,25.0,282.0,50.0,24.0,50.0,0.62,17.0,17.0,26.0,0.647,210.0
1023.0,29.0,2349.0,387.0,82.0,203.0,0.499,21.0,157.0,134.0,0.542,200.0
195.0,24.0,565.0,76.0,12.0,39.0,0.539,38.0,27.0,72.0,0.5760000000000001,240.0
525.0,19.0,1897.0,173.0,41.0,118.0,0.46299999999999997,78.0,122.0,173.0,0.518,222.0
350.0,22.0,1245.0,138.0,12.0,37.0,0.488,25.0,59.0,97.0,0.528,230.0
693.0,23.0,2194.0,267.0,0.0,0.0,0.547,274.0,83.0,189.0,0.58,238.0
566.0,26.0,1638.0,234.0,0.0,1.0,0.535,190.0,73.0,122.0,0.574,255.0
34.0,24.0,171.0,13.0,3.0,11.0,0.337,4.0,18.0,16.0,0.34299999999999997,170.0
53.0,23.0,154.0,19.0,13.0,39.0,0.43200000000000005,6.0,8.0,14.0,0.44299999999999995,205.0
338.0,24.0,1301.0,126.0,56.0,155.0,0.45399999999999996,19.0,52.0,100.0,0.478,200.0
948.0,29.0,2338.0,338.0,152.0,378.0,0.5539999999999999,127.0,62.0,133.0,0.585,237.0
